wavelength spectrum_sum 3smoothed_sum spectrum_optimal 3smoothed_optimal spectrum_snr
4448.61 479.213 496.136 505.361 529.671 16.5058
4451.52 460.308 483.335 510.257 525.863 16.0202
4454.42 510.483 500.773 561.97 559.857 17.4116
4457.33 531.527 529.06 607.342 581.845 17.8818
4460.23 545.17 531.631 576.222 589.624 18.3645
4463.14 518.196 563.179 585.306 596.412 17.6672
4466.05 626.171 529.446 627.707 564.937 20.5431
4468.95 443.971 538.236 481.799 562.861 15.5859
4471.86 544.565 513.393 579.078 541.024 18.2403
4474.77 551.642 570.044 562.196 592.464 18.5278
4477.67 613.926 577.862 636.117 607.368 20.2014
4480.58 568.018 595.433 623.79 638.438 18.5618
4483.48 604.355 570.166 655.406 614.91 19.6659
4486.39 538.125 574.51 565.533 608.133 17.999
4489.3 581.051 558.415 603.459 585.676 19.2741
4492.2 556.068 583.191 588.035 600.055 18.39
4495.11 612.454 566.933 608.671 583.602 19.7685
4498.01 532.278 593.087 554.099 607.553 17.5519
4500.92 634.528 564.323 659.89 596.244 20.2208
4503.83 526.162 604.74 574.743 643.104 17.4301
4506.73 653.531 585.445 694.68 623.49 20.64
4509.64 576.643 606.295 601.046 648.836 18.7762
4512.54 588.712 610.752 650.781 644.92 18.9473
4515.45 666.902 622.275 682.934 667.005 20.828
4518.35 611.212 639.284 667.3 685.583 19.498
4521.26 639.738 620.199 706.516 670.258 20.1761
4524.16 609.649 615.899 636.959 676.569 19.4915
4527.07 598.311 585.133 686.232 633.205 19.3843
4529.97 547.441 582.513 576.423 645.73 18.0157
4532.88 601.788 594.01 674.537 653.731 18.9783
4535.79 632.802 625.663 710.233 690.376 19.9386
4538.69 642.4 618.052 686.358 667.775 20.058
4541.6 578.953 620.799 606.734 649.657 18.4667
4544.5 641.045 604.8 655.878 628.372 20.1245
4547.41 594.4 623.652 622.505 646.376 18.9775
4550.31 635.51 634.093 660.745 659.529 19.7481
4553.22 672.37 649.29 695.337 675.187 20.6572
4556.12 639.99 657.992 669.478 690.05 20.2331
4559.03 661.617 665.462 705.334 694.444 20.4352
4561.93 694.78 685.262 708.519 709.667 20.9054
4564.84 699.391 672.267 715.148 681.09 21.2713
4567.74 622.631 662.787 619.603 668.284 19.5916
4570.64 666.339 673.837 670.101 669.361 20.407
4573.55 732.541 716.21 718.379 699.991 22.2022
4576.45 749.75 736.652 711.494 725.187 22.479
4579.36 727.666 749.255 745.688 745.027 22.0037
4582.26 770.348 696.326 777.901 712.27 22.8229
4585.17 590.964 696.484 613.22 708.706 18.7438
4588.07 728.139 669.153 734.998 666.475 21.9399
4590.98 688.355 695.608 651.208 682.169 20.8607
4593.88 670.33 667.974 660.301 650.447 20.7365
4596.78 645.237 681.555 639.833 665.1 19.9034
4599.69 729.098 698.313 695.164 676.945 21.9332
4602.59 720.603 711.741 695.838 661.497 21.511
4605.5 685.522 716.47 593.49 664.343 20.8155
